# 链接存活检查：共 140 条，可达 126，受限 5（401/403/429），异常 9；并发 8，耗时 27.6s
status	note	ms	bytes	url	final_url
200	可达	2788	-	https://agentpatterns.ai/context-engineering/repository-map-pattern	https://agentpatterns.ai/context-engineering/repository-map-pattern/
200	可达	914	30632	https://aider.chat/	https://aider.chat/
200	可达	1843	-	https://anytxt.net/	https://anytxt.net/
404	不存在	1017	-	https://api.searchcode.com/api/v1/	https://api.searchcode.com/api/v1/
405	HTTP 405	1108	-	https://api.searchcode.com/api/v1/code_analyze?client=my-app	https://api.searchcode.com/api/v1/code_analyze?client=my-app
200	可达	934	35637	https://ast-grep.github.io/	https://ast-grep.github.io/
200	可达	928	89652	https://ast-grep.github.io/guide/rule-config.html	https://ast-grep.github.io/guide/rule-config.html
402	HTTP 402	1223	-	https://awesome.ecosyste.ms/projects/github.com%2Fcomby-tools%2Fcomby	https://awesome.ecosyste.ms/projects/github.com%2Fcomby-tools%2Fcomby
200	可达	799	106110	https://cli.github.com/manual/gh_search_repos	https://cli.github.com/manual/gh_search_repos
200	可达	899	184041	https://codeql.github.com/	https://codeql.github.com/
200	可达	2470	600543	https://codeql.github.com/docs/codeql-cli/about-the-codeql-cli	https://docs.github.com/en/code-security/concepts/code-scanning/codeql/codeql-cli
200	可达	1036	12067	https://comby.dev/docs/overview	https://comby.dev/docs/overview
ERR	网络失败: <urlopen error Tunnel connection failed: 502 Bad Gateway>	10009	-	https://console.cloud.google.com/bigquery	https://console.cloud.google.com/bigquery
200	可达	1108	-	https://ctags.io/	https://ctags.io/
200	可达	2172	-	https://d-central.tech/self-hosted-vector-databases	https://d-central.tech/self-hosted-vector-databases/
200	可达	887	43859	https://datafusion.apache.org/	https://datafusion.apache.org/
200	可达	407	856582	https://deepwiki.com/Aider-AI/aider/4.1-repository-mapping-system	https://deepwiki.com/Aider-AI/aider/4.1-repository-mapping-system
200	可达	669	244081	https://deepwiki.com/ai-tools-all/grep_app_mcp/4-grep.app-integration	https://deepwiki.com/ai-tools-all/grep_app_mcp/4-grep.app-integration
200	可达	1290	1308	https://deps.dev/go/github.com%2Fsourcegraph%2Fzoekt	https://deps.dev/go/github.com%2Fsourcegraph%2Fzoekt
200	可达	1139	1308	https://deps.dev/pypi/ghapi/2.1.0	https://deps.dev/pypi/ghapi/2.1.0
200	可达	1096	1308	https://deps.dev/pypi/github3-py/3.1.2	https://deps.dev/pypi/github3-py/3.1.2
404	不存在	2113	-	https://dev.co/security/open-source/semgrep	https://dev.co/security/open-source/semgrep
200	可达	908	-	https://docfetcher.sourceforge.io/	https://docfetcher.sourceforge.io/
